classe,texto,qtd_palavra,burstiness,mtld,qtd_oov,taxa_oov,palavras_oov,densidade_de_pontuacao,qtd_virgula,qtd_ponto_e_virgula,qtd_ponto
0,"Carnaval é alegria, diversão, contravenção. É o momento de se despir do maçante compromisso cotidiano das relações profissionais e se permitir sorrir e brincar. Por isso, usar fantasias, roupas coloridas, chapéus estilizados e outros adereços, que nos permitam compartilhar essa felicidade com outros cidadãos, não pode ser encarado como ofensivo ou uma apropriação indevida de uma cultura por outra.

É importante salientar, inicialmente, que as pessoas vão para as ruas para se divertir, esquecer por instantes os problemas e lutas cotidianas. Querem comida, diversão e arte para dar um sentido mais amplo a sua existência. O que prevalece nesse momento é a brincadeira, o lúdico, o entretenimento, passando ao longe a ideia de hostilizar e humilhar qualquer segmento ideológico e cultural, mesmo a cultura indígena, tão sofrida e desrespeitada, principalmente pela classe política.

Convém ressaltar que o desrespeito não advém do fato de as pessoas usarem cocares ou adereços que façam referência à cultura indígena. Ele se consolida na não aceitação da forma em que eles vivem, no preconceito contra os nativos, na hostilidade que sofrem ou sofreram, como no caso do indígena incendiado em um ponto de ônibus em Brasília, na invasão e expulsão de suas terras, no pensamento estilizado de que eles são vagabundos. Esses fatores, somados, revelam um profundo desprezo e demonstram o quanto precisamos fazer e transformar para garantir a eles uma existência digna.

Com isso, focar a atenção em fantasias de carnaval é perder tempo com polêmicas supérfluas diante do gigantesco desafio de eliminar as graves agressões sofridas historicamente. Eles precisam de respeito, reconhecimento, segurança e que seus direitos, como cidadãos brasileiros, sejam respeitados. Necessitam que o governo garanta a inviolabilidade do seu território para não se tornarem vítimas de exploradores gananciosos. Por fim, cabe aos governantes e a à sociedade civil organizada mudar o rumo dessa verdadeira tragédia para que eles não percam sua identidade.",311,0.4731,161.737,5,0.0161,"ônibus, cotidianas, polêmicas, maçante, cotidiano",0.1383,30,0,13
0,"O avanço da tecnologia e sua aplicação nas empresas empresas, em conjunto com as exigências de alta qualificação profissional no mercado de trabalho, têm resultado em um grande número de desempregados, o qual cresce a cada dia.

Segundo os especialistas, o número de desempregados tende a aumentar progressivamente, podendo surgir em surgir até 2050 uma nova classe de pessoas, a dos ""inúteis"" ou ""não empregáveis"". Um dos motivos dessa ocorrência é o desenvolvimento acelerado de robôs de inteligência artificial, que substituem milhares de trabalhadores. Diversas tarefas que antes eram realizadas por pessoas, hoje são feitas por equipamentos tecnológicos, os quais são mais lucrativos aos proprietários por sua eficiência e precisão.

Com isso, as empresas estão exigindo um número cada vez maior de especialistas ligados à tecnologia, como desenvolvedores de softwares, cientistas e analistas de dados, capazes de controlar os novos equipamentos. O problema é que esse tipo de trabalho exige alta qualificação profissional, excluindo os trabalhadores simples, sem estudo completo e os recém-formados, sem experiência, que não conseguem oportunidades em um mercado saturado.

É necessário que o governo invista na educação, para que as pessoas aprimorem seus estudos de forma a atender às novas exigências do mercado de trabalho e que a população também fique atenta à informação e procure se especializar no que está em alta. Por outro lado, cabe às empresas promoverem programas que visam visem o ingresso dos recém-formados e cursos de especialização para os funcionários interessados em continuar trabalhando, a fim de ajudar a conter o desemprego.",252,0.2231,108.5795,1,0.004,desenvolvedores,0.1349,20,0,8
0,"Nos últimos anos, a Operação Lava-Jato, responsável por desmantelar grandes esquemas de corrupção, deu grande crédito ao Poder Judiciário, sobretudo por causa da atuação do ex-juiz Sérgio Moro, o qual foi visto como um herói nacional. Em oposição a isso, o Supremo Tribunal Federal sofreu diversos ataques, em virtude de suas decisões poucos populares. Tal percepção negativa, no entanto, não deve ser vista como algo necessariamente ruim, pois nem sempre a defesa dos valores constitucionais agrada à maioria.

Nesse sentido, é preciso dizer que a função principal da Suprema Corte é de guardar guardar a Constituição Federal de 1988. Esta Essa, por sua vez, possui um mecanismo de defesa inclusive contra a vontade do povo: as cláusulas pétreas. Estes Esses dispositivos, por guardarem valores essenciais à democracia, não podem ser alterados em nenhuma circunstância, seja por proposta de emenda ou plebiscito. Eles foram criados para resistir a ondas totalitárias e até mesmo a vontades populares eventualmente imbuídas de desejos de discriminação e de violência. Em certa medida, portanto, a Carta Magna pode ser antipopular e, da mesma maneira, será o STF, cujo papel é o de velar pela sua validade.

Na verdade, a insatisfação gerada ocorre, em grande parte, por um motivo: a população brasileira não conhece quase nada sobre a legislação pátria. As escolas regulares do país preocupam-se mais em ensinar ensinar, por exemplo, a diferença entre mitose e meiose nas aulas de Biologia. O que é ensinado sobre Direito Constitucional? Nada! O resultado disso é desastroso: pouquíssimas pessoas sabem qual é o papel do STF e quais são seus deveres ou limitações. Assim, quando tal órgão não atende ao cego clamor popular, surge uma reivindicação em massa que pede o seu fechamento.

Por fim, depreende-se que boa parte das reclamações quanto à atuação do STF surgem porque a população é ignorante. Para que isso seja mudado, é imprescindível que o Poder Legislativo crie uma lei que insira a disciplina de Direito Constitucional no Ensino Básico. Tal medida, provavelmente, poderá disseminar o caro conhecimento de que a função da Suprema Corte não está relacionada a heroísmos, mas a à defesa da Constituição Cidadã.",357,0.3553,199.7563,4,0.0112,"percepção, stf, pétreas, meiose",0.1597,33,0,15
0,"Desde a pré-história, o homem sempre se utilizou do conhecimento inovador para evoluir. O fogo, a faca, a escrita, os meios de transporte, de comunicação (rádio, tv, internet), entre outros, foram marcos tecnológicos, cada qual a na sua época, que facilitaram o processo de evolução da espécie humana. Portanto, é inegável que essas tecnologias trouxeram benefícios à humanidade e, nesse contexto linear, tendem a progredir infinitamente. Entretanto, sempre houve e ainda há pessoas que fizeram e fazem mau uso de tais instrumentos, o que alimenta o medo e a insegurança de parte da sociedade diante do novo.

Aqueles que são contrários ao desenvolvimento tecnológico sustentam suas crenças com base em fatos negativos que afetaram profundamente a humanidade, como, por exemplo, as consequências nefastas do regime nazista na Alemanha. Não se pode desprezar a possibilidade de um revés no uso da ciência e da tecnologia, visto que, em última instância, têm o poder de causar o extermínio da própria humanidade, assim como ocorreu, em menor proporção, com a bomba atômica em Hiroshima. Todavia, prender-se a isso seria ter uma visão pessimista do progresso, tal qual teve a personagem do episódio ""O velho do Restelo"", do livro ""Os Lusíadas"", de Camões.

Já os que defendem o uso da ciência e tecnologia, em uma visão mais otimista, encaram-no como meio de superação dos limites humanos. Esse olhar encontra respaldo no fato de que todos os avanços tecnológicos promovidos pela ciência, em qualquer área, sempre contribuíram para que o ser humano transpusesse suas barreiras pessoais ou do meio em que vive. Como exemplo mais antigo, tem-se a elementar descoberta do fogo, e, na sociedade atual, a utilização da Inteligência Artificial (IA). Prova disso é o uso da IA nas escolas para melhoria do processo de ensino-aprendizagem, na medicina para diagnósticos mais rápidos e eficazes, entre outras áreas, conforme recente matéria publicada no portal de notícias ""G1"".

Portanto, a evolução da humanidade por meio da ciência e tecnologia, atualmente denominada de revolução transumanista, ainda que utopicamente, é algo inerente a sua condição, faz parte da história da sociedade e é um ""caminho sem volta"". Apesar da possibilidade de ser empregada com finalidade diversa, ela (a revolução transumanista) não deve ser vista pelo lado negativo da teoria darwinista, em que só os mais fortes sobrevivem, mas sim pelo lado positivo, científico, que denota a evolução da espécie humana. Será que a humanidade teria sobrevivido se o homem, à época, tivesse se prendido unicamente nos malefícios do fogo?",415,0.3108,146.1859,5,0.012,"darwinista, atômica, utopicamente, transumanista, hiroshima",0.2048,52,0,13
0,"A Constituição Federal de 1988, em seu artigo 5, é clara ao determinar que, salvo nas hipóteses de prisões cautelares, ninguém será preso até o trânsito em julgado da sentença penal condenatória, ou seja, até que não caibam mais recursos. Apesar da previsão legal, o Supremo Tribunal Federal (STF) fez um ""malabarismo interpretativo"" ao julgar legítima a prisão do réu em segunda instância.

Nesse contexto, a Corte Suprema, quando julgou o tema, se afastou de sua função precípua que é aplicar a lei, tendo em vista que a competência para elaborá-las é do Poder Legislativo. Sem dúvida, o STF, ao passo que ignorou a interpretação literal e lógica da Constituição, se comportou como um rei absolutista que cria e aplica as normas ao seu próprio alvedrio.

Ademais, erroneamente, argumenta-se que a prisão após segunda instância é necessária, uma vez que o julgamento completo de uma ação penal, com o esgotamento de todos os recursos, é muito demorado e, assim, o réu permanece em liberdade durante todo o processo, de modo a fortificar o sentimento de impunidade perante a sociedade. Contudo, é importante dizer que não é razoável que alguém seja antecipadamente punido por pura ineficiência do Poder Judiciário em dar celeridade às suas demandas. Ora, se há morosidade, isso deve ser solucionado de uma forma que não aniquile o princípio da presunção de inocência!

Portanto, tal medida validada pelo STF é um atentado contra a ordem constitucional. Por conta disso, para sanar tal controvérsia, deverá o Poder Legislativo aprovar lei que detalhe claramente a vedação à prisão em segunda instância, sob pena de violação a um caro direito fundamental.",269,0.37,142.7983,3,0.0112,"alvedrio, stf, precípua",0.1636,29,0,8
0,"Black Mirror é um seriado que mostra o lado desagradável das novas tecnologias. Nesse sentido, em um dos episódios apresentados, vê-se a extinção das abelhas naturais e a sua respectiva substituição por abelhas-robôs. De modo geral, essa intervenção ambiental traz consequências lastimáveis, e termina com final trágico. Contudo, não tão distante da ficção, a intervenção no meio ambiente, pelo uso exacerbado de agrotóxicos, tem preocupado a população brasileira, devido à sua alta toxicidade para a saúde humana. Devido a isso, são necessárias ações não somente governamentais, mas da sociedade como um todo, com o intuito de melhorar essa situação.

Agrotóxicos são produtos químicos utilizados para garantir a produtividade. Inicialmente, a adoção de tecnologias originárias da Revolução verde, entre elas, a utilização de agrotóxicos, trouxe o aumento da produtividade e, por conseguinte, propiciou que o Brasil se tornasse um grande exportador de produtos agrícolas, mas infelizmente também um dos maiores consumidores de pesticidas no mundo. Dessa forma, é inegável que o perigo está na ""mesa"" da população, que tem o seu bem estar bem-estar em jogo. Em síntese, a causa desse problema abrange desde a desinformação, até a falta de interesse na busca por uma alimentação mais saudável, encontrada na agricultura orgânica, da a qual não faz uso de produtos químicos, então, químicos e depende do ciclo natural das plantas.

Ademais, apesar dos de os consumidores se contaminarem ao comer grãos, frutas, verduras e legumes com pesticidas acima do permitido, os trabalhadores rurais são as maiores vítimas. Dados do Programa de Vigilância da Saúde das Populações Expostas a Agrotóxicos, da Universidade de Campinas, apontam que 1,5 milhões de trabalhadores estão intoxicados no espaço rural, seja pela falta de fiscalização ou de uniformes adequados. Além disso, a carência de pesticidas modernos (os quais devem ser menos tóxicos e sua quantia diminuída usados em menor quantidade) afeta tanto quem aplica os agrotóxicos, quanto quem os consomem consome.

É indiscutível, portanto, que o uso excessivo dessas substâncias tóxicas é uma problemática um problema no país, subitamente, medidas são necessárias país e medidas são necessárias com urgência. Primordialmente, a agricultura orgânica precisa ser incentivada, pois proporciona alimentos riquíssimos para a saúde da população. Assim sendo, o Estado deve diminuir os impostos aos pequenos agricultores e a sociedade deve cooperar comprando seus produtos, de modo a esta essa forma de plantação ganhar mais espaço no país. Ademais, urge que a Anvisa seja mais rígida na fiscalização dos pesticidas e dos trajes utilizados na aplicação dessas substâncias pelos produtores. E, por fim, o Ministério da Educação deve elaborar feiras de Ciências nas universidades, tendo como tema central a criação de um agrotóxico, por parte dos alunos, que seja menos poluente para a saúde de toda população. Somente com a efetivação dessas ações, os problemas serão eliminados.",461,0.422,147.4403,6,0.013,"agrotóxico, anvisa, black, mirror, agrotóxicos, respectiva",0.167,52,0,18
0,"O filme ""Avatar"" apresenta o planeta Pandora, local habitado pelos extraterrestres ""Na´Vis"", os quais mantêm uma relação harmoniosa com a Natureza. Entretanto, a chegada dos humanos à procura de metais preciosos nesse território perturba a paz dos nativos e ameaça o equilíbrio ambiental. Embora ficcional, esse panorama retrata a busca de ganho monetário em detrimento da preservação do Meio Ambiente, como as constantes perdas da cobertura vegetal da Amazônia, propiciadores propiciadoras do agronegócio. Com isso, o combate à exploração amazônica é um incontestável e urgente dever brasileiro.

A princípio, é preciso analisar as causas da destruição da Amazônia. Nesse sentido, muitos agropecuaristas inconscientes desmatam essa região, ao retirar a vegetação natural, para formar pastos, onde ocorrerá a criação de gado, o qual posteriormente será comercializado. Esses locais, com o decorrer do tempo, após o intenso pisoteamento pisoteio dos animais, desgastam-se e, consequentemente, perdem sua fertilidade. Além disso, também são realizados incêndios para facilitar a remoção da cobertura vegetal, o que libera CO2 em excesso, o qual fica retido no ar, intoxicando-o, principalmente pela falta de árvores que realizam a fotossíntese, ou seja, retêm dióxido de carbono e liberam oxigênio. Logo, esse tipo de pecuária não sustentável destrói o Meio Ambiente e deve ser combatido.

Por conseguinte, esses crimes contra a Amazônia suscitam debates acerca da responsabilidade governamental do Brasil, focadas, atualmente, nos incêndios iniciados em Rondônia, que se espalharam para outros lugares do país e, ainda, não foram resolvidos. Desse modo, ao considerar a soberania brasileira com relação à região amazônica, denota-se percebe-se a responsabilidade intransferível que o país tem de cuidar de sua preservação, além preservação. Além de prevenir crimes, o governo precisa fiscalizar adequadamente essas áreas e impedir a exploração desnecessária.

Portanto, cabe ao Ministério da Agricultura, Pecuária e Abastecimento incentivar, por meio de pagamento de subsídios agrícolas aos produtores, a prática da pecuária sustentável na Amazônia, ao rotacionar o uso do solo, evitando desgastá-lo, além de incitar a plantação de árvores para reduzir o impacto do agronegócio. Ademais, o governo deve fiscalizar essas áreas para que não haja atividades ilegais, impedindo a exploração mostrada em ""Avatar"".",354,0.4244,161.2527,10,0.0282,"pisoteio, avatar, amazônica, oxigênio, pisoteamento, rotacionar, agronegócio, desmatam, amazônia, agropecuaristas",0.2006,46,0,14
0,"As reflexões acerca de como o uso das criptomoedas pode representar uma revolução econômica mundial atestam a relevância do assunto na atualidade. Entretanto, embora essa tecnologia de criptografia possa exprimir uma política monetária dos novos tempos e proporcionar grande autonomia para seus usuários, há uma série de problemas que podem impedir uma revolução dessa proporção. Entre esses problemas estão: a resistência dos governos diante da perda de controle econômico em seus países e os riscos que apresentam para seus investidores.

A criação das criptomoedas foi possibilitada pela tecnologia blockchain (cadeia em blocos), composta por uma base de dados que armazena o histórico de transações e possui uma forte criptografia nesse processo. Assim, diferentemente das moedas tradicionais, as moedas virtuais não são controladas pelo Banco Central, ou seja, o seu uso é livre de instâncias burocráticas. Dessa forma, como a maior fonte de poder para os governos são os seus bancos centrais e o monopólio de dinheiro, a possível mudança de um controle monetário centralizado para um descentralizado apresenta sofre de forte resistência dos governos, pois acabaria com tal poder. Um exemplo dessa perda de controle é que o governo ficaria impedido de emitir e valorizar a moeda e ainda de bloquear o dinheiro das pessoas, como historicamente já aconteceu em políticas econômicas de alguns países.

É inegável a relevante transformação econômica, política e social que o uso das criptomoedas pode proporcionar para a sociedade atual vez atual, uma vez que elas desburocratizam os processos, eliminam intermediários e permitem a descentralização da moeda. Todavia, existem riscos para os investidores nessas moedas em razão da abertura que elas oferecem para operações ilícitas. Nesse sentido, a moeda virtual é baseada em um software de código aberto que permite o anonimato das pessoas e, devido à dificuldade de rastrear os usuários, o mercado das moedas virtuais estimula a prática de crimes como a corrupção e a lavagem de dinheiro. Os bitcoins (primeira moeda virtual do mundo) utilizados pelos investidores no intuito de movimentar grandes quantias não declaradas são um exemplo dessa prática ilícita.

Portanto, verifica-se que vários são os fatores que impedem uma revolução econômica mundial proveniente das criptomoedas. Diante disso, para se esperar um crescimento considerável desse novo tipo de dinheiro são necessárias relevantes medidas, entre as quais estão a regulamentação específica da moeda virtual no que concerne a sua utilização e comercialização e o atendimento a critérios amplamente divergentes como a descentralização com proteção ao consumidor e a preservação do anonimato dos usuários sem ser um canal de evasões fiscais e outras ilicitudes.",422,0.4053,120.1286,7,0.0166,"criptomoedas, blockchain, econômico, ilicitudes, bitcoins, econômicas, econômica",0.0948,21,0,13
0,"A ciência contribuiu, ao longo dos séculos, para o desenvolvimento da sociedade tal como a conhecemos. Graças à a ela, diversas comodidades, como meios de comunicação, internet e medicamentos, estão disponíveis. Entretanto, seu prestigio prestígio vem diminuindo entre a população. Este Esse fenômeno está bastante associado às novas formas de consumo de informações e pode trazer grandes prejuízos ao povo.

Atualmente, a disseminação de informações tornou-se mais dinâmica. Entretanto, isto isso favoreceu as chamadas ""fake news"", caracterizadas por apresentarem inverdades, muitas vezes convenientes para alguns segmentos da sociedade. Ainda Além disso, o impacto destas dessas notícias é favorecido pela chamada era da pós-verdade, que, como explica o filósofo Paulo Ghiraldelli, caracteriza-se por uma situação em que fatores pessoais pesam mais no momento de analisar uma informação do que qualquer outro. Com isto isso, tanto o pensamento crítico, como o científico são postos para escanteio.

Além disso, a descrença na ciência traz consequências negativas para a população, sendo um claro exemplo desta relação desse fato o caso da vacinação. Tal ligação se dá pelo fato de o Brasil, nos últimos anos, ter passado de país modelo na pauta de imunização à a figurante entre os principais países com aumento na incidência de sarampo. Neste Nesse processo, o disseminado movimento anti-vacinas antivacinas, carente de base técnica científica, teve importante contribuição. Associado à a ele, também contribui a falta de criticidade relativa às informações.

Dado o exposto, faz-se necessário trabalhar pela valorização da ciência. Neste Nesse processo, as instituições educacionais são fundamentais e devem contribuir para a formação de cidadãos críticos. Além disso, devem estimular o primeiro contato com a ciência e sua compreensão, por meio de atividades práticas contextualizadas com o dia a dia. Além disso, é de suma importância que as empresas ligadas à comunicação desenvolvam mecanismos de combate às ""fake news"", a fim de evitar a disseminação de informações prejudiciais à população. Desta Dessa forma, contribuir-se-á para o melhor uso do conhecimento.",329,0.4806,171.6967,9,0.0274,"antivacinas, á, contato, criticidade, news, fake, ghiraldelli, escanteio, fenômeno",0.1824,32,0,17
0,"Recentemente, o Governo Federal anunciou um contingenciamento de verbas para a educação superior, o que gerou grande divergência entre os brasileiros: enquanto uns apoiaram a medida, outros foram às ruas para se manifestar contra ela. Nesse contexto, alguns defenderam a privatização das universidades ou a cobrança de mensalidades para os mais ricos a fim de solucionar a crise financeira do ensino superior. Porém, o mais justo é manter esse serviço público e gratuito a todos, embora certas ações sejam necessárias para maximizar os benefícios dessa decisão.

Primordialmente Primeiramente, é válido importante considerar que as universidades públicas são as mais bem avaliadas do país. Segundo uma pesquisa do grupo britânico QS (Quacquarelli Symonds), UNICAMP e USP, por exemplo, estão entre as melhores da América Latina. Ademais, um levantamento recente da CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior) mostrou que mais de 90% das pesquisas científicas do Brasil vêm das escolas superiores públicas. Sendo assim, a privatização das universidades seria prejudicial ao país, já que sua qualidade tenderia a piorar e a quantidade dessas pesquisas, a diminuir. Além disso, seria provável que tais estudos, lamentavelmente, fossem voltados somente a áreas que trazem maior retorno financeiro imediato. Desse modo, conclui-se que as instituições públicas de ensino superior devem continuar sendo do Estado.

Em uma segunda análise, convém lembrar que o Artigo 206 da Constituição Federal garante o ensino gratuito em estabelecimentos oficiais. Logo, ninguém deveria ser privado de ter uma educação superior gratuita e de qualidade, independentemente da de classe social. Infelizmente, isso não acontece na prática: boa parte da população, sobretudo os mais pobres, não tem acesso a esse serviço. Todavia, a cobrança de mensalidades não seria uma solução adequada para o impasse, pois não só violaria a Constituição, mas também poderia desestimular os mais ricos a ingressarem e realizarem pesquisas nessas instituições. Assim, é possível concluir que a universidade pública deve ser gratuita para todos.

Portanto, a privatização das universidades públicas e a cobrança da mensalidade dos mais ricos não solucionariam o problema da crise financeira no ensino superior. Contudo, o Poder Público precisa agir para resolvê-lo e proporcionar, ainda, uma maior igualdade de acesso a essas instituições. Primeiramente, verbas de setores menos relevantes (a exemplo das Forças Armadas) devem ser destinadas a áreas mais essenciais, como a educação superior. Além do mais, para esse mesmo fim, deve haver privatizações de empresas estatais (os Correios, por exemplo). Por fim, para que haja maior igualdade de oportunidades nas universidades, é necessário que as cotas sociais (àqueles que estudaram em escolas públicas) sejam ampliadas. Dessa forma, a crise financeira do ensino superior será solucionada de maneira justa e em respeito à Constituição Federal.",442,0.2499,153.3595,6,0.0136,"contingenciamento, qs, usp, unicamp, quacquarelli, symonds",0.1674,40,0,20
