prompt,tema
0,A apropriação cultural no Carnaval brasileiro: entre valorização cultural e reprodução de desigualdades
1,Qualificação e o futuro do emprego
2,O protagonismo do Supremo Tribunal Federal e os desafios da relação entre judiciário e opinião pública no Brasil contemporâneo
3,"Ciência, tecnologia e superação dos limites humanos: uma eventual revolução transumanista"
4,O direito de recorrer em liberdade no sistema penal brasileiro e seus impactos na justiça e na segurança pública
5,Agrotóxicos ou defensivos agrícolas: qual o nome mais adequado para pesticidas
6,A soberania brasileira sobre a Amazônia e os desafios da governança ambiental global
7,Os desafios da regulamentação das criptomoedas e seus impactos no sistema financeiro e na soberania estatal
8,Desinformação e pós-verdade: entraves à valorização do conhecimento científico na sociedade contemporânea
9,"Os desafios do financiamento do ensino superior no Brasil: entre a gratuidade, a privatização e a equidade social"
10,"Os fatores determinantes para a melhoria da qualidade de vida no Brasil: entre fé, educação e condições socioeconômicas"
11,Dilemas da convivência entre seres humanos e animais silvestres em um contexto de mudanças ambientais
12,Civismo nas escolas brasileiras: entre a formação cidadã e o risco de instrumentalização ideológica
13,Os impactos da flexibilização do porte e da posse de armas na segurança pública brasileira
14,Os desafios para o acolhimento de refugiados e imigrantes na sociedade brasileira
15,O combate à obesidade e aos distúrbios alimentares na sociedade contemporânea
16,O avanço do conservadorismo político e social na América Latina
17,A importância da preservação do patrimônio histórico e cultural brasileiro
18,O paradoxo entre a defesa dos direitos humanos e a segurança pública no Brasil
19,A manipulação do comportamento e da opinião pública por meio das redes sociais
20,Caminhos para a integração de imigrantes na sociedade brasileira
21,A dependência do transporte rodoviário e os impactos de suas paralisações no Brasil
22,O debate sobre o foro privilegiado e a busca por igualdade na justiça brasileira
23,O consumo de alimentos transgênicos e a questão da biossegurança no Brasil
24,Os efeitos e os limites de intervenções militares na segurança pública do Brasil
25,Os perigos da patologização da homossexualidade na sociedade brasileira
26,Caminhos para a melhoria da qualidade da educação básica no Brasil
27,Os impactos da polarização política nas relações sociais e na democracia brasileira
28,Os reflexos da crise ética e política na sociedade brasileira contemporânea
29,Os desafios para o enfrentamento da dependência química e a questão da Cracolândia
30,Os impactos da dependência tecnológica na saúde mental e nas relações sociais
31,A terceirização do trabalho e a garantia de direitos trabalhistas no Brasil
32,A proteção da privacidade e o combate aos crimes cibernéticos no Brasil
33,Os desafios e impactos da implementação da Reforma do Ensino Médio no Brasil
34,A importância de estabelecer limites na educação de crianças e jovens contemporâneos
35,Caminhos para a valorização da docência e do professor no Brasil
36,A persistência do trabalho em condições análogas à escravidão no Brasil contemporâneo
37,O combate à cultura do estupro e à violência de gênero na sociedade brasileira
38,A polêmica em torno do uso de medicamentos sem comprovação científica no Brasil
39,A instabilidade política e o impacto dos processos de impeachment no Brasil
40,A busca incessante por padrões de beleza e seus impactos na saúde física e mental
41,O debate sobre a militarização de escolas públicas no Brasil
42,Desafios para superar a crise estrutural do sistema educacional brasileiro
43,"Os impactos e os limites da ""cultura do cancelamento"" nas redes sociais"
44,O debate sobre a inclusão de pessoas transexuais em competições esportivas
45,Caminhos para combater o abuso de autoridade por agentes públicos no Brasil
46,Os impactos políticos e econômicos das privatizações de empresas estatais no Brasil
47,Os desafios e as perspectivas para a qualidade do Ensino a Distância (EAD) no Brasil
48,A importância e os desafios para a manutenção do Sistema Único de Saúde (SUS)
49,A influência dos influenciadores digitais no comportamento de consumo dos jovens
50,Os desafios no enfrentamento de pandemias e a importância da saúde pública no Brasil
51,A persistência do analfabetismo funcional na sociedade brasileira
52,Caminhos para a prevenção da gravidez na adolescência no Brasil
53,A democratização do acesso à informação na era digital no Brasil
54,A importância da vacinação e os perigos do movimento antivacina no Brasil
55,Desafios para a garantia dos direitos territoriais e culturais dos povos indígenas no Brasil
56,A crise do sistema prisional brasileiro e a falência das políticas de ressocialização
57,Democratização do acesso ao cinema no Brasil
58,O avanço da agropecuária e os impactos no desmatamento dos biomas brasileiros
59,O problema da fome e da insegurança alimentar no Brasil contemporâneo
60,Os impactos econômicos e sociais da Reforma da Previdência na vida dos brasileiros
61,O estigma associado às doenças mentais e o aumento das taxas de suicídio no Brasil
62,O combate ao discurso de ódio e à intolerância nas redes sociais
63,A responsabilidade social e empresarial na mitigação dos impactos ambientais no Brasil
64,A importância e os desafios da educação sexual nas escolas brasileiras
65,O debate sobre a redução da maioridade penal na sociedade brasileira
66,Manipulação do comportamento do usuário pelo controle de dados na internet
67,A urgência da demarcação de terras indígenas e a preservação de suas identidades
68,Desafios para a valorização e conservação do patrimônio histórico e cultural brasileiro
69,Os riscos do uso de agrotóxicos para a saúde pública e a biodiversidade brasileira
70,Desafios para a prevenção de Infecções Sexualmente Transmissíveis (ISTs) entre os jovens
71,Caminhos para a prevenção do suicídio e a promoção da saúde mental no Brasil
72,Os impactos das fake news na democracia e a necessidade de educação midiática
73,A efetivação dos direitos e garantias fundamentais previstos na Constituição de 1988
74,A persistência da violência contra a mulher e o enfrentamento ao feminicídio no Brasil
75,A cultura do armamento e o debate sobre o controle de armas no Brasil
76,A persistência da desigualdade de gênero no mercado de trabalho brasileiro
77,Caminhos para combater a homofobia e a transfobia na sociedade brasileira
78,Os desafios do Ensino Médio para combater a evasão escolar no Brasil
79,A superlotação dos presídios e a violação sistemática dos direitos humanos no Brasil
80,Caminhos para o combate ao racismo estrutural na sociedade brasileira
81,Caminhos para combater a intolerância religiosa no Brasil
82,Os riscos da automedicação e a banalização do uso de remédios no Brasil
83,O sedentarismo como problema de saúde pública na sociedade contemporânea
84,Desafios para a fiscalização e o controle do comércio de armas de fogo no mundo atual
85,Caminhos para o fortalecimento da democracia direta e participativa no Brasil
